"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MNDO","MIND C.T.I. Ltd.","1.82","$36.21M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/mndo",
"NERV","Minerva Neurosciences, Inc","6.88","$269.83M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nerv",
"MGEN","Miragen Therapeutics, Inc.","0.5393","$28.62M","2014","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/mgen",
"MRTX","Mirati Therapeutics, Inc.","90.7","$3.94B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mrtx",
"MIRM","Mirum Pharmaceuticals, Inc.","14.74","$374.25M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mirm",
"MSON","MISONIX, Inc.","11.42","$198.25M","1992","Capital Goods","Medical Specialities","https://old.nasdaq.com/symbol/mson",
"MIND","Mitcham Industries, Inc.","0.965","$11.74M","1994","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/mind",
"MINDP","Mitcham Industries, Inc.","17.3","$13.81M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/mindp",
"MITK","Mitek Systems, Inc.","8.25","$337.43M","n/a","Technology","Computer peripheral equipment","https://old.nasdaq.com/symbol/mitk",
"MKSI","MKS Instruments, Inc.","92.74","$5.09B","1999","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/mksi",
"MMAC","MMA Capital Holdings, Inc.","25.48","$145.25M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/mmac",
"MTC","MMTec, Inc.","1.3","$26.09M","2019","n/a","n/a","https://old.nasdaq.com/symbol/mtc",
"MINI","Mobile Mini, Inc.","24.08","$1.07B","1994","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/mini",
"MOBL","MobileIron, Inc.","4.73","$546.69M","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/mobl",
"MRNA","Moderna, Inc.","46.85","$15.41B","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/mrna",
"MOGO","Mogo Inc.","0.96","$26.75M","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/mogo",
"MWK","Mohawk Group Holdings, Inc.","2.5","$44.24M","2019","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/mwk",
"MKD","Molecular Data Inc.","1.68","$193.27M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/mkd",
"MTEM","Molecular Templates, Inc.","16.34","$745.89M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mtem",
"MBRX","Moleculin Biotech, Inc.","1.2","$63.87M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mbrx",
"MNTA","Momenta Pharmaceuticals, Inc.","30.07","$3.53B","2004","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/mnta",
"MOMO","Momo Inc.","23.81","$9.94B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/momo",
"MKGI","Monaker Group, Inc.","0.9","$11.74M","n/a","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/mkgi",
"MCRI","Monarch Casino & Resort, Inc.","27.1","$491.63M","1993","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/mcri",
"MDLZ","Mondelez International, Inc.","53.48","$76.46B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/mdlz",
"MGI","Moneygram International, Inc.","1.42","$90.07M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/mgi",
"MDB","MongoDB, Inc.","154.19","$8.88B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/mdb",
"MNCL","Monocle Acquisition Corporation","10.18","$226.81M","2019","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/mncl",
"MNCLU","Monocle Acquisition Corporation","10.35","n/a","2019","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/mnclu",
"MNCLW","Monocle Acquisition Corporation","0.2","n/a","2019","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/mnclw",
"MPWR","Monolithic Power Systems, Inc.","185.77","$8.29B","2004","Technology","Semiconductors","https://old.nasdaq.com/symbol/mpwr",
"MNPR","Monopar Therapeutics Inc.","8.001","$84.98M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mnpr",
"MNRO","Monro, Inc. ","49.36","$1.64B","1991","Consumer Services","Automotive Aftermarket","https://old.nasdaq.com/symbol/mnro",
"MRCC","Monroe Capital Corporation","7.1","$145.16M","2012","n/a","n/a","https://old.nasdaq.com/symbol/mrcc",
"MRCCL","Monroe Capital Corporation","21","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mrccl",
"MNST","Monster Beverage Corporation","62.19","$33.39B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/mnst",
"MORN","Morningstar, Inc.","132.45","$5.69B","2005","Finance","Investment Managers","https://old.nasdaq.com/symbol/morn",
"MORF","Morphic Holding, Inc.","15.06","$459.08M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/morf",
"MOR","MorphoSys AG","25.81","$3.3B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mor",
"MOSY","MoSys, Inc.","1.64","$3.8M","2001","Technology","Semiconductors","https://old.nasdaq.com/symbol/mosy",
"MOTA","Mota Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mota",
"MPAA","Motorcar Parts of America, Inc.","12.63","$239.53M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/mpaa",
"MOTS","Motus GI Holdings, Inc.","0.6712","$19.35M","2018","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mots",
"MOXC","Moxian, Inc.","0.8557","$13.86M","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/moxc",
"COOP","Mr. Cooper Group Inc.","8.24","$757.8M","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/coop",
"MSBF","MSB Financial Corp.","11.08","$57.45M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/msbf",
"MTBC","MTBC, Inc.","6.37","$78.76M","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/mtbc",
"MTBCP","MTBC, Inc.","25.61","$23.8M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/mtbcp",
"MTSC","MTS Systems Corporation","18.36","$352.25M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/mtsc",
"MUDS","Mudrick Capital Acquisition Corporation","10.37","$125.57M","2018","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/muds",
"MUDSU","Mudrick Capital Acquisition Corporation","9.8863","n/a","2018","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mudsu",
"MUDSW","Mudrick Capital Acquisition Corporation","0.398","n/a","2018","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mudsw",
"GRIL","Muscle Maker, Inc","1.82","$13.2M","2020","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/gril",
"MBIO","Mustang Bio, Inc.","2.97","$127.25M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mbio",
"MFSF","MutualFirst Financial Inc.","24.12","$207.62M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/mfsf",
"MVBF","MVB Financial Corp.","13.79","$164.75M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/mvbf",
"MYSZ","My Size, Inc.","2.126","$5.53M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/mysz",
"MYL","Mylan N.V.","16.11","$8.32B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/myl",
"MYOK","MyoKardia, Inc.","60.13","$2.8B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/myok",
"MYOS","MYOS RENS Technology Inc.","1.1","$11.94M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/myos",
"MYRG","MYR Group, Inc.","25.36","$422.42M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/myrg",
"MYGN","Myriad Genetics, Inc.","15","$1.12B","1995","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/mygn",
"NBRV","Nabriva Therapeutics plc","0.5217","$49.37M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nbrv",
"NAKD","Naked Brand Group Limited","0.4579","$1.93M","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/nakd",
"NNDM","Nano Dimension Ltd.","1.28","$10.45M","n/a","Technology","Electrical Products","https://old.nasdaq.com/symbol/nndm",
"NSTG","NanoString Technologies, Inc.","29.58","$1.09B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/nstg",
"NAOV","NanoVibronix, Inc.","2.05","$9.13M","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/naov",
"NH","NantHealth, Inc.","2.03","$224.56M","2016","Technology","EDP Services","https://old.nasdaq.com/symbol/nh",
"NK","NantKwest, Inc.","3.3","$324.99M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/nk",
"NSSC","NAPCO Security Technologies, Inc.","16.99","$311.7M","n/a","Capital Goods","Telecommunications Equipment","https://old.nasdaq.com/symbol/nssc",
"NDAQ","Nasdaq, Inc.","111.24","$18.28B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/ndaq",
"NTRA","Natera, Inc.","33.66","$2.63B","2015","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/ntra",
"NATH","Nathan&#39;s Famous, Inc.","59.61","$251.16M","1993","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/nath",
"NKSH","National Bankshares, Inc.","27.85","$180.73M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/nksh",
"FIZZ","National Beverage Corp.","50.6","$2.36B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/fizz",
"NCMI","National CineMedia, Inc.","2.96","$236.06M","2007","Consumer Services","Advertising","https://old.nasdaq.com/symbol/ncmi",
"NESR","National Energy Services Reunited Corp.","4.71","$410.65M","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nesr",
"NESRW","National Energy Services Reunited Corp.","0.39","n/a","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nesrw",
"NGHC","National General Holdings Corp","16.43","$1.87B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghc",
"NGHCN","National General Holdings Corp","22.15","$4.43M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghcn",
"NGHCO","National General Holdings Corp","22.15","$3.65M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghco",
"NGHCP","National General Holdings Corp","22","$48.4M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghcp",
"NGHCZ","National General Holdings Corp","25","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghcz",
"NHLD","National Holdings Corporation","1.3499","$18.19M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/nhld",
"NHLDW","National Holdings Corporation","0.0963","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/nhldw",
"NATI","National Instruments Corporation","37.06","$4.85B","1995","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/nati",
"NRC","National Research Corporation","54.15","$1.36B","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/nrc",
"NSEC","National Security Group, Inc.","15.49","$39.2M","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/nsec",
"EYE","National Vision Holdings, Inc.","24.5","$1.97B","2017","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/eye",
"NWLI","National Western Life Group, Inc.","187","$679.94M","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/nwli",
"NAII","Natural Alternatives International, Inc.","7.38","$50.61M","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/naii",
"NHTC","Natural Health Trends Corp.","3.64","$41.58M","n/a","Consumer Durables","Consumer Specialties","https://old.nasdaq.com/symbol/nhtc",
"NATR","Nature&#39;s Sunshine Products, Inc.","8.26","$160.85M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/natr",
